season,date,home_team,away_team,scorer,scorer_team,goals
20142015,2014-11-23,Vancouver Canucks,Chicago Blackhawks,Jannik Hansen,Vancouver Canucks,3
20142015,2014-11-26,Pittsburgh Penguins,Toronto Maple Leafs,Blake Comeau,Pittsburgh Penguins,3
20142015,2014-12-02,Calgary Flames,Arizona Coyotes,Josh Jooris,Calgary Flames,3
20142015,2014-12-05,Winnipeg Jets,Colorado Avalanche,Bryan Little,Winnipeg Jets,3
20142015,2014-12-13,Washington Capitals,Tampa Bay Lightning,Nicklas Backstrom,Washington Capitals,3
20142015,2014-12-16,Montréal Canadiens,Carolina Hurricanes,Alex Galchenyuk,Montréal Canadiens,3
20142015,2014-12-16,St. Louis Blues,Los Angeles Kings,Vladimir Tarasenko,St. Louis Blues,3
20142015,2014-12-22,Los Angeles Kings,Calgary Flames,Johnny Gaudreau,Calgary Flames,3
20142015,2014-12-23,New York Rangers,Washington Capitals,Rick Nash,New York Rangers,3
20142015,2014-12-23,Tampa Bay Lightning,Pittsburgh Penguins,Tyler Johnson,Tampa Bay Lightning,3
20142015,2014-12-27,New York Rangers,New Jersey Devils,Derek Stepan,New York Rangers,3
20142015,2014-12-29,Ottawa Senators,Buffalo Sabres,Bobby Ryan,Ottawa Senators,3
20142015,2015-01-03,New Jersey Devils,Philadelphia Flyers,Jaromir Jagr,New Jersey Devils,3
20142015,2015-01-03,San Jose Sharks,St. Louis Blues,T.J. Oshie,St. Louis Blues,3
20142015,2015-01-06,Arizona Coyotes,St. Louis Blues,David Backes,St. Louis Blues,4
20142015,2015-01-13,Winnipeg Jets,Florida Panthers,Mathieu Perreault,Winnipeg Jets,4
20142015,2015-01-14,Anaheim Ducks,Toronto Maple Leafs,Corey Perry,Anaheim Ducks,3
20142015,2015-01-16,New York Islanders,Pittsburgh Penguins,Kyle Okposo,New York Islanders,4
20142015,2015-01-18,Detroit Red Wings,Buffalo Sabres,Henrik Zetterberg,Detroit Red Wings,3
20142015,2015-01-29,Tampa Bay Lightning,Detroit Red Wings,Cedric Paquette,Tampa Bay Lightning,3
20142015,2015-02-12,Los Angeles Kings,Calgary Flames,Tyler Toffoli,Los Angeles Kings,3
20142015,2015-02-13,Arizona Coyotes,San Jose Sharks,Joe Pavelski,San Jose Sharks,3
20142015,2015-02-13,Vancouver Canucks,Boston Bruins,Shawn Matthias,Vancouver Canucks,3
20142015,2015-02-17,St. Louis Blues,Dallas Stars,Jamie Benn,Dallas Stars,3
20142015,2015-02-22,Colorado Avalanche,Tampa Bay Lightning,Nathan MacKinnon,Colorado Avalanche,3
20142015,2015-03-08,Carolina Hurricanes,Edmonton Oilers,Elias Lindholm,Carolina Hurricanes,3
20142015,2015-03-08,Carolina Hurricanes,Edmonton Oilers,Ryan Nugent-Hopkins,Edmonton Oilers,3
20142015,2015-03-24,Columbus Blue Jackets,Anaheim Ducks,Scott Hartnell,Columbus Blue Jackets,3
20142015,2015-03-27,Chicago Blackhawks,Columbus Blue Jackets,Cam Atkinson,Columbus Blue Jackets,3
20142015,2015-03-28,Toronto Maple Leafs,Ottawa Senators,Tyler Bozak,Toronto Maple Leafs,3
20142015,2015-04-03,Dallas Stars,St. Louis Blues,Jaden Schwartz,St. Louis Blues,3
20142015,2015-04-04,Columbus Blue Jackets,Pittsburgh Penguins,Nick Foligno,Columbus Blue Jackets,3
20142015,2015-04-11,Dallas Stars,Nashville Predators,Jamie Benn,Dallas Stars,3
20152016,2015-10-08,Colorado Avalanche,Minnesota Wild,Zach Parise,Minnesota Wild,3
20152016,2015-10-09,Detroit Red Wings,Toronto Maple Leafs,Justin Abdelkader,Detroit Red Wings,3
20152016,2015-10-13,Dallas Stars,Edmonton Oilers,Jason Spezza,Dallas Stars,3
20152016,2015-10-14,Anaheim Ducks,Arizona Coyotes,Anthony Duclair,Arizona Coyotes,3
20152016,2015-10-23,Edmonton Oilers,Washington Capitals,Evgeny Kuznetsov,Washington Capitals,3
20152016,2015-10-24,Ottawa Senators,Arizona Coyotes,Mikkel Boedker,Arizona Coyotes,3
20152016,2015-10-24,San Jose Sharks,Carolina Hurricanes,Joel Ward,San Jose Sharks,3
20152016,2015-10-30,New York Rangers,Toronto Maple Leafs,Mats Zuccarello,New York Rangers,3
20152016,2015-10-30,Calgary Flames,Montréal Canadiens,Dale Weise,Montréal Canadiens,3
20152016,2015-10-31,Edmonton Oilers,Calgary Flames,Michael Frolik,Calgary Flames,3
20152016,2015-11-03,Boston Bruins,Dallas Stars,Tyler Seguin,Dallas Stars,3
